task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,random_forest,0.5,55,76,F,M,15
gender,random_forest,0.5,55,76,M,F,20
gender,random_forest,0.5,55,76,M,M,51
gender,hist_gradient_boosting,0.5,55,76,F,F,46
gender,hist_gradient_boosting,0.5,55,76,F,M,25
gender,hist_gradient_boosting,0.5,55,76,M,F,32
gender,hist_gradient_boosting,0.5,55,76,M,M,39
gender,mlp,0.5,55,76,F,F,60
gender,mlp,0.5,55,76,F,M,11
gender,mlp,0.5,55,76,M,F,33
gender,mlp,0.5,55,76,M,M,38
gender,logistic_regression,0.5,89,76,F,F,57
gender,logistic_regression,0.5,89,76,F,M,14
gender,logistic_regression,0.5,89,76,M,F,18
gender,logistic_regression,0.5,89,76,M,M,53
gender,random_forest,0.5,89,76,F,F,61
gender,random_forest,0.5,89,76,F,M,10
gender,random_forest,0.5,89,76,M,F,15
gender,random_forest,0.5,89,76,M,M,56
gender,hist_gradient_boosting,0.5,89,76,F,F,50
gender,hist_gradient_boosting,0.5,89,76,F,M,21
gender,hist_gradient_boosting,0.5,89,76,M,F,29
gender,hist_gradient_boosting,0.5,89,76,M,M,42
gender,mlp,0.5,89,76,F,F,61
gender,mlp,0.5,89,76,F,M,10
gender,mlp,0.5,89,76,M,F,25
gender,mlp,0.5,89,76,M,M,46
gender,logistic_regression,0.75,13,114,F,F,61
gender,logistic_regression,0.75,13,114,F,M,10
gender,logistic_regression,0.75,13,114,M,F,15
gender,logistic_regression,0.75,13,114,M,M,56
gender,random_forest,0.75,13,114,F,F,55
gender,random_forest,0.75,13,114,F,M,16
gender,random_forest,0.75,13,114,M,F,16
gender,random_forest,0.75,13,114,M,M,55
gender,hist_gradient_boosting,0.75,13,114,F,F,53
gender,hist_gradient_boosting,0.75,13,114,F,M,18
gender,hist_gradient_boosting,0.75,13,114,M,F,26
gender,hist_gradient_boosting,0.75,13,114,M,M,45
gender,mlp,0.75,13,114,F,F,50
gender,mlp,0.75,13,114,F,M,21
gender,mlp,0.75,13,114,M,F,26
gender,mlp,0.75,13,114,M,M,45
gender,logistic_regression,0.75,21,114,F,F,59
gender,logistic_regression,0.75,21,114,F,M,12
gender,logistic_regression,0.75,21,114,M,F,12
gender,logistic_regression,0.75,21,114,M,M,59
gender,random_forest,0.75,21,114,F,F,65
gender,random_forest,0.75,21,114,F,M,6
gender,random_forest,0.75,21,114,M,F,7
gender,random_forest,0.75,21,114,M,M,64
gender,hist_gradient_boosting,0.75,21,114,F,F,61
gender,hist_gradient_boosting,0.75,21,114,F,M,10
gender,hist_gradient_boosting,0.75,21,114,M,F,18
gender,hist_gradient_boosting,0.75,21,114,M,M,53
gender,mlp,0.75,21,114,F,F,61
gender,mlp,0.75,21,114,F,M,10
gender,mlp,0.75,21,114,M,F,23
gender,mlp,0.75,21,114,M,M,48
gender,logistic_regression,0.75,34,114,F,F,59
gender,logistic_regression,0.75,34,114,F,M,12
gender,logistic_regression,0.75,34,114,M,F,13
gender,logistic_regression,0.75,34,114,M,M,58
gender,random_forest,0.75,34,114,F,F,57
gender,random_forest,0.75,34,114,F,M,14
gender,random_forest,0.75,34,114,M,F,8
gender,random_forest,0.75,34,114,M,M,63
gender,hist_gradient_boosting,0.75,34,114,F,F,53
gender,hist_gradient_boosting,0.75,34,114,F,M,18
gender,hist_gradient_boosting,0.75,34,114,M,F,20
gender,hist_gradient_boosting,0.75,34,114,M,M,51
gender,mlp,0.75,34,114,F,F,57
gender,mlp,0.75,34,114,F,M,14
gender,mlp,0.75,34,114,M,F,13
gender,mlp,0.75,34,114,M,M,58
gender,logistic_regression,0.75,55,114,F,F,57
gender,logistic_regression,0.75,55,114,F,M,14
gender,logistic_regression,0.75,55,114,M,F,8
gender,logistic_regression,0.75,55,114,M,M,63
gender,random_forest,0.75,55,114,F,F,58
gender,random_forest,0.75,55,114,F,M,13
gender,random_forest,0.75,55,114,M,F,6
gender,random_forest,0.75,55,114,M,M,65
gender,hist_gradient_boosting,0.75,55,114,F,F,52
gender,hist_gradient_boosting,0.75,55,114,F,M,19
gender,hist_gradient_boosting,0.75,55,114,M,F,19
gender,hist_gradient_boosting,0.75,55,114,M,M,52
gender,mlp,0.75,55,114,F,F,59
gender,mlp,0.75,55,114,F,M,12
gender,mlp,0.75,55,114,M,F,20
gender,mlp,0.75,55,114,M,M,51
