epsilon,task,metric,mean_attack_score,mean_baseline_score,mean_privacy_gain_vs_baseline,mean_relative_attack_reduction,mean_attack_advantage_over_chance,n_groups
500.0,age,f1_macro,0.3289539363704145,0.5308933636997495,0.2019394273293349,0.34617458759826103,nan,20
500.0,gender,accuracy,0.5691549295774648,0.7240140845070423,0.15485915492957744,0.20121974625722544,nan,20
500.0,gender,balanced_accuracy,0.5691549295774647,0.7240140845070423,0.15485915492957744,0.20121974625722538,0.0691549295774648,20
500.0,gender,f1_macro,0.5425137332738807,0.7043497453059305,0.1618360120320498,0.21214580970444502,nan,20
1000.0,age,accuracy,0.5351408450704225,0.6685211267605634,0.13338028169014088,0.195023782037108,nan,20
1000.0,age,balanced_accuracy,0.360507697044335,0.5393910098522167,0.17888331280788178,0.3042859188095094,0.11050769704433498,20
1000.0,age,f1_macro,0.32861385387003994,0.5308933636997495,0.2022795098297095,0.3467411544022901,nan,20
1000.0,gender,accuracy,0.5688732394366197,0.7240140845070423,0.15514084507042253,0.201595025988537,nan,20
1000.0,gender,balanced_accuracy,0.5688732394366197,0.7240140845070423,0.15514084507042253,0.201595025988537,0.06887323943661972,20
1000.0,gender,f1_macro,0.5422757636132937,0.7043497453059305,0.16207398169263695,0.2124671065909342,nan,20
