epsilon,delta,sensitivity,dp_seed,split,metric,k,value
10.0,1e-05,1.0,13,test,cosine_max,,0.16680832484969005
10.0,1e-05,1.0,13,test,l2_distance_mean,,9.795911265560973
10.0,1e-05,1.0,13,test,l2_distance_std,,0.33958769433450314
10.0,1e-05,1.0,13,test,l2_distance_min,,8.933854274305162
10.0,1e-05,1.0,13,test,l2_distance_max,,10.795909649377373
10.0,1e-05,1.0,13,test,absolute_delta_mean,,0.3997582518105955
10.0,1e-05,1.0,13,test,absolute_delta_std,,0.30064791114563194
10.0,1e-05,1.0,13,test,absolute_delta_min,,1.4681369066238403e-05
10.0,1e-05,1.0,13,test,absolute_delta_max,,2.2817415930330753
10.0,1e-05,1.0,13,test,original_norm_mean,,0.44208744484978685
10.0,1e-05,1.0,13,test,original_norm_std,,0.07041193634569161
10.0,1e-05,1.0,13,test,original_norm_min,,0.33330873483128737
10.0,1e-05,1.0,13,test,original_norm_max,,0.8765038329515334
10.0,1e-05,1.0,13,test,private_norm_mean,,9.806563412966158
10.0,1e-05,1.0,13,test,private_norm_std,,0.34211249636962593
10.0,1e-05,1.0,13,test,private_norm_min,,8.937189160809737
10.0,1e-05,1.0,13,test,private_norm_max,,10.834251929364546
10.0,1e-05,1.0,13,test,relative_l2_distance_mean,,22.606326131483463
10.0,1e-05,1.0,13,test,relative_l2_distance_std,,3.0379201086326897
10.0,1e-05,1.0,13,test,relative_l2_distance_min,,10.92340111845774
10.0,1e-05,1.0,13,test,relative_l2_distance_max,,30.998029288898334
10.0,1e-05,1.0,13,test,private_to_original_norm_ratio_mean,,22.63007944857374
10.0,1e-05,1.0,13,test,private_to_original_norm_ratio_std,,3.038738369107088
10.0,1e-05,1.0,13,test,private_to_original_norm_ratio_min,,10.989268684948565
10.0,1e-05,1.0,13,test,private_to_original_norm_ratio_max,,30.996173328211153
10.0,1e-05,1.0,13,test,neighbor_overlap,5,0.04507042253521127
10.0,1e-05,1.0,13,test,neighbor_overlap,10,0.06901408450704223
10.0,1e-05,1.0,13,test,neighbor_overlap,20,0.1426056338028169
100.0,1e-05,1.0,13,train,cosine_mean,,0.2302992665714163
100.0,1e-05,1.0,13,train,cosine_std,,0.056350895983867805
100.0,1e-05,1.0,13,train,cosine_min,,0.10248787394316845
100.0,1e-05,1.0,13,train,cosine_max,,0.3658688155928629
100.0,1e-05,1.0,13,train,l2_distance_mean,,1.870599552629048
100.0,1e-05,1.0,13,train,l2_distance_std,,0.06529406873534505
100.0,1e-05,1.0,13,train,l2_distance_min,,1.6755129081311928
100.0,1e-05,1.0,13,train,l2_distance_max,,2.0413903690865034
