epsilon,delta,sensitivity,dp_seed,split,metric,k,value
10.0,1e-05,1.0,2026,test,cosine_std,,0.051438452797336415
10.0,1e-05,1.0,2026,test,cosine_min,,-0.13722278870014037
10.0,1e-05,1.0,2026,test,cosine_max,,0.25089523154334453
10.0,1e-05,1.0,2026,test,l2_distance_mean,,9.788835654946675
10.0,1e-05,1.0,2026,test,l2_distance_std,,0.3581499181367271
10.0,1e-05,1.0,2026,test,l2_distance_min,,8.262495467666048
10.0,1e-05,1.0,2026,test,l2_distance_max,,11.021416649862937
10.0,1e-05,1.0,2026,test,absolute_delta_mean,,0.39891095973916624
10.0,1e-05,1.0,2026,test,absolute_delta_std,,0.3012287016338937
10.0,1e-05,1.0,2026,test,absolute_delta_min,,3.175809979438782e-07
10.0,1e-05,1.0,2026,test,absolute_delta_max,,2.6037649996578693
10.0,1e-05,1.0,2026,test,original_norm_mean,,0.5867764179447457
10.0,1e-05,1.0,2026,test,original_norm_std,,0.09971744554259364
10.0,1e-05,1.0,2026,test,original_norm_min,,0.32245568233794636
10.0,1e-05,1.0,2026,test,original_norm_max,,1.0000000278559538
10.0,1e-05,1.0,2026,test,private_norm_mean,,9.806465668766247
10.0,1e-05,1.0,2026,test,private_norm_std,,0.359094137647964
10.0,1e-05,1.0,2026,test,private_norm_min,,8.284940537342909
10.0,1e-05,1.0,2026,test,private_norm_max,,11.037039266342944
10.0,1e-05,1.0,2026,test,relative_l2_distance_mean,,17.179097221480653
10.0,1e-05,1.0,2026,test,relative_l2_distance_std,,3.0582191463977293
10.0,1e-05,1.0,2026,test,relative_l2_distance_min,,10.091357333088864
10.0,1e-05,1.0,2026,test,relative_l2_distance_max,,31.472034398260483
10.0,1e-05,1.0,2026,test,private_to_original_norm_ratio_mean,,17.208035930747815
10.0,1e-05,1.0,2026,test,private_to_original_norm_ratio_std,,3.052294492860393
10.0,1e-05,1.0,2026,test,private_to_original_norm_ratio_min,,10.181198716267248
10.0,1e-05,1.0,2026,test,private_to_original_norm_ratio_max,,31.46501744454465
10.0,1e-05,1.0,2026,test,neighbor_overlap,5,0.0015432980851671908
10.0,1e-05,1.0,2026,test,neighbor_overlap,10,0.00317233495284367
10.0,1e-05,1.0,2026,test,neighbor_overlap,20,0.006187482137753645
100.0,1e-05,1.0,2026,train,cosine_mean,,0.29920348934652147
100.0,1e-05,1.0,2026,train,cosine_std,,0.06487745378350948
100.0,1e-05,1.0,2026,train,cosine_min,,0.029893720784693684
100.0,1e-05,1.0,2026,train,cosine_max,,0.5309704784806599
100.0,1e-05,1.0,2026,train,l2_distance_mean,,1.8643435048657784
100.0,1e-05,1.0,2026,train,l2_distance_std,,0.06776753393992685
100.0,1e-05,1.0,2026,train,l2_distance_min,,1.6258104318432598
100.0,1e-05,1.0,2026,train,l2_distance_max,,2.168946486919317
100.0,1e-05,1.0,2026,train,absolute_delta_mean,,0.07595259883824036
100.0,1e-05,1.0,2026,train,absolute_delta_std,,0.05739916409731271
100.0,1e-05,1.0,2026,train,absolute_delta_min,,7.450580596923828e-09
100.0,1e-05,1.0,2026,train,absolute_delta_max,,0.4919160231947899
100.0,1e-05,1.0,2026,train,original_norm_mean,,0.5873496396214581
100.0,1e-05,1.0,2026,train,original_norm_std,,0.09926824026493279
100.0,1e-05,1.0,2026,train,original_norm_min,,0.3025874329309691
100.0,1e-05,1.0,2026,train,original_norm_max,,1.0000000785710612
100.0,1e-05,1.0,2026,train,private_norm_mean,,1.95694260034235
100.0,1e-05,1.0,2026,train,private_norm_std,,0.07734849116921247
100.0,1e-05,1.0,2026,train,private_norm_min,,1.676318662939698
100.0,1e-05,1.0,2026,train,private_norm_max,,2.3065746270352796
100.0,1e-05,1.0,2026,train,relative_l2_distance_mean,,3.2667669344444317
100.0,1e-05,1.0,2026,train,relative_l2_distance_std,,0.5728367187152695
100.0,1e-05,1.0,2026,train,relative_l2_distance_min,,1.8097994529666672
100.0,1e-05,1.0,2026,train,relative_l2_distance_max,,6.327836378499007
100.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_mean,,3.4201955288041304
100.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_std,,0.5499127974175511
100.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_min,,2.084501906071066
100.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_max,,6.345532105032034
100.0,1e-05,1.0,2026,train,neighbor_overlap,5,0.003186852447302608
100.0,1e-05,1.0,2026,train,neighbor_overlap,10,0.00497320471596999
100.0,1e-05,1.0,2026,train,neighbor_overlap,20,0.008417291889960701
100.0,1e-05,1.0,2026,test,cosine_mean,,0.2980634288916923
100.0,1e-05,1.0,2026,test,cosine_std,,0.06521149354243536
100.0,1e-05,1.0,2026,test,cosine_min,,0.07737755795557086
100.0,1e-05,1.0,2026,test,cosine_max,,0.5057722231439363
100.0,1e-05,1.0,2026,test,l2_distance_mean,,1.8638299580249384
100.0,1e-05,1.0,2026,test,l2_distance_std,,0.06819304869402835
100.0,1e-05,1.0,2026,test,l2_distance_min,,1.5732092190115756
100.0,1e-05,1.0,2026,test,l2_distance_max,,2.0985178597064498
100.0,1e-05,1.0,2026,test,absolute_delta_mean,,0.07595409950154197
100.0,1e-05,1.0,2026,test,absolute_delta_std,,0.057355041817003814
100.0,1e-05,1.0,2026,test,absolute_delta_min,,6.05359673500061e-08
100.0,1e-05,1.0,2026,test,absolute_delta_max,,0.4957663305103779
100.0,1e-05,1.0,2026,test,original_norm_mean,,0.5867764179447457
100.0,1e-05,1.0,2026,test,original_norm_std,,0.09971744554259364
100.0,1e-05,1.0,2026,test,original_norm_min,,0.32245568233794636
100.0,1e-05,1.0,2026,test,original_norm_max,,1.0000000278559538
100.0,1e-05,1.0,2026,test,private_norm_mean,,1.9558111213387548
100.0,1e-05,1.0,2026,test,private_norm_std,,0.07759964371968305
