task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,mlp,0.5,55,6998,female,male,391
gender,mlp,0.5,55,6998,male,female,417
gender,mlp,0.5,55,6998,male,male,1345
gender,logistic_regression,0.5,89,6998,female,female,1330
gender,logistic_regression,0.5,89,6998,female,male,407
gender,logistic_regression,0.5,89,6998,male,female,360
gender,logistic_regression,0.5,89,6998,male,male,1402
gender,random_forest,0.5,89,6998,female,female,1284
gender,random_forest,0.5,89,6998,female,male,453
gender,random_forest,0.5,89,6998,male,female,486
gender,random_forest,0.5,89,6998,male,male,1276
gender,hist_gradient_boosting,0.5,89,6998,female,female,1322
gender,hist_gradient_boosting,0.5,89,6998,female,male,415
gender,hist_gradient_boosting,0.5,89,6998,male,female,433
gender,hist_gradient_boosting,0.5,89,6998,male,male,1329
gender,xgboost,0.5,89,6998,female,female,1326
gender,xgboost,0.5,89,6998,female,male,411
gender,xgboost,0.5,89,6998,male,female,404
gender,xgboost,0.5,89,6998,male,male,1358
gender,mlp,0.5,89,6998,female,female,1327
gender,mlp,0.5,89,6998,female,male,410
gender,mlp,0.5,89,6998,male,female,375
gender,mlp,0.5,89,6998,male,male,1387
gender,logistic_regression,0.75,13,10496,female,female,1346
gender,logistic_regression,0.75,13,10496,female,male,391
gender,logistic_regression,0.75,13,10496,male,female,378
gender,logistic_regression,0.75,13,10496,male,male,1384
gender,random_forest,0.75,13,10496,female,female,1304
gender,random_forest,0.75,13,10496,female,male,433
gender,random_forest,0.75,13,10496,male,female,481
gender,random_forest,0.75,13,10496,male,male,1281
gender,hist_gradient_boosting,0.75,13,10496,female,female,1333
gender,hist_gradient_boosting,0.75,13,10496,female,male,404
gender,hist_gradient_boosting,0.75,13,10496,male,female,417
gender,hist_gradient_boosting,0.75,13,10496,male,male,1345
gender,xgboost,0.75,13,10496,female,female,1338
gender,xgboost,0.75,13,10496,female,male,399
gender,xgboost,0.75,13,10496,male,female,424
gender,xgboost,0.75,13,10496,male,male,1338
gender,mlp,0.75,13,10496,female,female,1338
gender,mlp,0.75,13,10496,female,male,399
gender,mlp,0.75,13,10496,male,female,385
gender,mlp,0.75,13,10496,male,male,1377
gender,logistic_regression,0.75,21,10496,female,female,1349
gender,logistic_regression,0.75,21,10496,female,male,388
gender,logistic_regression,0.75,21,10496,male,female,375
gender,logistic_regression,0.75,21,10496,male,male,1387
gender,random_forest,0.75,21,10496,female,female,1300
gender,random_forest,0.75,21,10496,female,male,437
gender,random_forest,0.75,21,10496,male,female,452
gender,random_forest,0.75,21,10496,male,male,1310
gender,hist_gradient_boosting,0.75,21,10496,female,female,1298
gender,hist_gradient_boosting,0.75,21,10496,female,male,439
gender,hist_gradient_boosting,0.75,21,10496,male,female,407
gender,hist_gradient_boosting,0.75,21,10496,male,male,1355
gender,xgboost,0.75,21,10496,female,female,1323
gender,xgboost,0.75,21,10496,female,male,414
gender,xgboost,0.75,21,10496,male,female,396
gender,xgboost,0.75,21,10496,male,male,1366
gender,mlp,0.75,21,10496,female,female,1332
gender,mlp,0.75,21,10496,female,male,405
gender,mlp,0.75,21,10496,male,female,381
gender,mlp,0.75,21,10496,male,male,1381
gender,logistic_regression,0.75,34,10496,female,female,1346
gender,logistic_regression,0.75,34,10496,female,male,391
gender,logistic_regression,0.75,34,10496,male,female,357
gender,logistic_regression,0.75,34,10496,male,male,1405
gender,random_forest,0.75,34,10496,female,female,1303
gender,random_forest,0.75,34,10496,female,male,434
gender,random_forest,0.75,34,10496,male,female,453
