privacy_mode,epsilon,delta,sensitivity,dp_seed,task,classifier,train_fraction,metric,mean,std,n,baseline_mean,privacy_gain_vs_baseline,relative_attack_reduction,chance_level,attack_advantage_over_chance
none,,,,,gender,xgboost,0.1,accuracy,0.7410688768219491,0.00671164250689764,5,0.7410688768219491,0.0,0.0,nan,nan
none,,,,,gender,xgboost,0.1,balanced_accuracy,0.7410932322287765,0.006651128994478238,5,0.7410932322287765,0.0,0.0,0.5,0.24109323222877654
none,,,,,gender,xgboost,0.1,f1_macro,0.7410118931205598,0.006715669776413221,5,0.7410118931205598,0.0,0.0,nan,nan
none,,,,,gender,xgboost,0.25,accuracy,0.7589597027722206,0.0050505892455066466,5,0.7589597027722206,0.0,0.0,nan,nan
none,,,,,gender,xgboost,0.25,balanced_accuracy,0.7589461718868951,0.005032095064876248,5,0.7589461718868951,0.0,0.0,0.5,0.25894617188689506
none,,,,,gender,xgboost,0.25,f1_macro,0.7589368515281661,0.005033288184214251,5,0.7589368515281661,0.0,0.0,nan,nan
none,,,,,gender,xgboost,0.5,accuracy,0.7634752786510433,0.0032748274388410695,5,0.7634752786510433,0.0,0.0,nan,nan
none,,,,,gender,xgboost,0.5,balanced_accuracy,0.7634558520339516,0.003239603859995678,5,0.7634558520339516,0.0,0.0,0.5,0.2634558520339516
none,,,,,gender,xgboost,0.5,f1_macro,0.763452287334158,0.003264741384361828,5,0.763452287334158,0.0,0.0,nan,nan
none,,,,,gender,xgboost,0.75,accuracy,0.7662189196913405,0.0024166239676032815,5,0.7662189196913405,0.0,0.0,nan,nan
none,,,,,gender,xgboost,0.75,balanced_accuracy,0.7662053509874227,0.002403302059614006,5,0.7662053509874227,0.0,0.0,0.5,0.2662053509874227
none,,,,,gender,xgboost,0.75,f1_macro,0.7662020566750161,0.0024113552477341214,5,0.7662020566750161,0.0,0.0,nan,nan
none,,,,,gender,xgboost,1.0,accuracy,0.7671906258931124,0.0007721781129526266,5,0.7671906258931124,0.0,0.0,nan,nan
none,,,,,gender,xgboost,1.0,balanced_accuracy,0.7671619953512293,0.0007736703628723823,5,0.7671619953512293,0.0,0.0,0.5,0.2671619953512293
none,,,,,gender,xgboost,1.0,f1_macro,0.7671682814278065,0.0007731183132699443,5,0.7671682814278065,0.0,0.0,nan,nan
dp,0.5,1e-05,1.0,2026,age,hist_gradient_boosting,0.1,accuracy,0.4288653901114604,0.009822819404812574,5,0.6968276650471564,0.267962274935696,0.38454597654007067,nan,nan
dp,0.5,1e-05,1.0,2026,age,hist_gradient_boosting,0.1,balanced_accuracy,0.3366049876018178,0.007598952300429916,5,0.57380050156293,0.23719551396111227,0.41337627505558827,0.25,0.08660498760181778
dp,0.5,1e-05,1.0,2026,age,hist_gradient_boosting,0.1,f1_macro,0.31131225736903356,0.006870602273691451,5,0.5681699956324737,0.25685773826344016,0.45207902606245876,nan,nan
dp,0.5,1e-05,1.0,2026,age,hist_gradient_boosting,0.25,accuracy,0.427836524721349,0.008841216518009736,5,0.7194055444412689,0.29156901971991994,0.40529159383441915,nan,nan
dp,0.5,1e-05,1.0,2026,age,hist_gradient_boosting,0.25,balanced_accuracy,0.334929857893778,0.006907569446352524,5,0.6007975075327285,0.26586764963895054,0.44252455495492776,0.25,0.084929857893778
dp,0.5,1e-05,1.0,2026,age,hist_gradient_boosting,0.25,f1_macro,0.30793798705341724,0.00631284861684361,5,0.6014893979530269,0.2935514108996097,0.488040873037191,nan,nan
dp,0.5,1e-05,1.0,2026,age,hist_gradient_boosting,0.5,accuracy,0.4181766218919691,0.005703043515510832,5,0.7266076021720491,0.30843098028008004,0.4244808055380743,nan,nan
dp,0.5,1e-05,1.0,2026,age,hist_gradient_boosting,0.5,balanced_accuracy,0.32710668896386447,0.004505996528766206,5,0.6154559665284962,0.28834927756463175,0.4685132539880591,0.25,0.07710668896386447
dp,0.5,1e-05,1.0,2026,age,hist_gradient_boosting,0.5,f1_macro,0.3002197282775093,0.004301362681621496,5,0.6200135229474422,0.31979379466993285,0.5157851931191529,nan,nan
dp,0.5,1e-05,1.0,2026,age,hist_gradient_boosting,0.75,accuracy,0.42240640182909406,0.004253465580490781,5,0.7367819376964848,0.31437553586739075,0.4266873545384019,nan,nan
dp,0.5,1e-05,1.0,2026,age,hist_gradient_boosting,0.75,balanced_accuracy,0.3302869418388692,0.0031959681120745,5,0.62875998747798,0.2984730456391108,0.474701080831044,0.25,0.0802869418388692
dp,0.5,1e-05,1.0,2026,age,hist_gradient_boosting,0.75,f1_macro,0.3025878978386961,0.0023963694588008547,5,0.6357803929215987,0.3331924950829026,0.5240685286813969,nan,nan
dp,0.5,1e-05,1.0,2026,age,hist_gradient_boosting,1.0,accuracy,0.4222349242640754,0.006366902438418624,5,0.7416404687053444,0.319405544441269,0.4306743737957612,nan,nan
dp,0.5,1e-05,1.0,2026,age,hist_gradient_boosting,1.0,balanced_accuracy,0.329960724270969,0.004957136968897935,5,0.6363895499084332,0.3064288256374642,0.48151140395305775,0.25,0.07996072427096901
dp,0.5,1e-05,1.0,2026,age,hist_gradient_boosting,1.0,f1_macro,0.3014227683851907,0.004432793881594779,5,0.6442796101291373,0.34285684174394654,0.5321553504932827,nan,nan
dp,0.5,1e-05,1.0,2026,age,logistic_regression,0.1,accuracy,0.356387539296942,0.009302646926984725,5,0.6647613603886825,0.3083738210917405,0.4638865004299226,nan,nan
dp,0.5,1e-05,1.0,2026,age,logistic_regression,0.1,balanced_accuracy,0.338057304882022,0.00859072345837652,5,0.6193939200814296,0.28133661519940756,0.4542127490731927,0.25,0.08805730488202201
dp,0.5,1e-05,1.0,2026,age,logistic_regression,0.1,f1_macro,0.3306682758766294,0.008399514438877362,5,0.6131904345411123,0.28252215866448294,0.46074130115208245,nan,nan
dp,0.5,1e-05,1.0,2026,age,logistic_regression,0.25,accuracy,0.3415833095170049,0.012832842458722045,5,0.6955701629036868,0.3539868533866819,0.5089160982825212,nan,nan
dp,0.5,1e-05,1.0,2026,age,logistic_regression,0.25,balanced_accuracy,0.3324268408397371,0.013650570511692012,5,0.6723863348780637,0.33995949403832654,0.5056014323967154,0.25,0.08242684083973711
dp,0.5,1e-05,1.0,2026,age,logistic_regression,0.25,f1_macro,0.32127174167982675,0.012585081681335606,5,0.6540001672650069,0.3327284255851801,0.508758930409196,nan,nan
dp,0.5,1e-05,1.0,2026,age,logistic_regression,0.5,accuracy,0.32883681051729063,0.005050589245506645,5,0.7224921406116034,0.39365533009431275,0.5448575949367089,nan,nan
