task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,logistic_regression,0.5,21,76,M,M,55
gender,random_forest,0.5,21,76,F,F,42
gender,random_forest,0.5,21,76,F,M,29
gender,random_forest,0.5,21,76,M,F,30
gender,random_forest,0.5,21,76,M,M,41
gender,hist_gradient_boosting,0.5,21,76,F,F,44
gender,hist_gradient_boosting,0.5,21,76,F,M,27
gender,hist_gradient_boosting,0.5,21,76,M,F,34
gender,hist_gradient_boosting,0.5,21,76,M,M,37
gender,mlp,0.5,21,76,F,F,51
gender,mlp,0.5,21,76,F,M,20
gender,mlp,0.5,21,76,M,F,35
gender,mlp,0.5,21,76,M,M,36
gender,logistic_regression,0.5,34,76,F,F,35
gender,logistic_regression,0.5,34,76,F,M,36
gender,logistic_regression,0.5,34,76,M,F,21
gender,logistic_regression,0.5,34,76,M,M,50
gender,random_forest,0.5,34,76,F,F,31
gender,random_forest,0.5,34,76,F,M,40
gender,random_forest,0.5,34,76,M,F,23
gender,random_forest,0.5,34,76,M,M,48
gender,hist_gradient_boosting,0.5,34,76,F,F,37
gender,hist_gradient_boosting,0.5,34,76,F,M,34
gender,hist_gradient_boosting,0.5,34,76,M,F,29
gender,hist_gradient_boosting,0.5,34,76,M,M,42
gender,mlp,0.5,34,76,F,F,18
gender,mlp,0.5,34,76,F,M,53
gender,mlp,0.5,34,76,M,F,11
gender,mlp,0.5,34,76,M,M,60
gender,logistic_regression,0.5,55,76,F,F,48
gender,logistic_regression,0.5,55,76,F,M,23
gender,logistic_regression,0.5,55,76,M,F,30
gender,logistic_regression,0.5,55,76,M,M,41
gender,random_forest,0.5,55,76,F,F,42
gender,random_forest,0.5,55,76,F,M,29
gender,random_forest,0.5,55,76,M,F,25
gender,random_forest,0.5,55,76,M,M,46
gender,hist_gradient_boosting,0.5,55,76,F,F,39
gender,hist_gradient_boosting,0.5,55,76,F,M,32
gender,hist_gradient_boosting,0.5,55,76,M,F,35
gender,hist_gradient_boosting,0.5,55,76,M,M,36
gender,mlp,0.5,55,76,F,F,54
gender,mlp,0.5,55,76,F,M,17
gender,mlp,0.5,55,76,M,F,42
gender,mlp,0.5,55,76,M,M,29
gender,logistic_regression,0.5,89,76,F,F,41
gender,logistic_regression,0.5,89,76,F,M,30
gender,logistic_regression,0.5,89,76,M,F,33
gender,logistic_regression,0.5,89,76,M,M,38
gender,random_forest,0.5,89,76,F,F,38
gender,random_forest,0.5,89,76,F,M,33
gender,random_forest,0.5,89,76,M,F,27
gender,random_forest,0.5,89,76,M,M,44
gender,hist_gradient_boosting,0.5,89,76,F,F,38
