task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,random_forest,0.75,55,114,M,M,34
gender,hist_gradient_boosting,0.75,55,114,F,F,35
gender,hist_gradient_boosting,0.75,55,114,F,M,36
gender,hist_gradient_boosting,0.75,55,114,M,F,29
gender,hist_gradient_boosting,0.75,55,114,M,M,42
gender,xgboost,0.75,55,114,F,F,31
gender,xgboost,0.75,55,114,F,M,40
gender,xgboost,0.75,55,114,M,F,33
gender,xgboost,0.75,55,114,M,M,38
gender,mlp,0.75,55,114,F,F,59
gender,mlp,0.75,55,114,F,M,12
gender,mlp,0.75,55,114,M,F,54
gender,mlp,0.75,55,114,M,M,17
gender,logistic_regression,0.75,89,114,F,F,33
gender,logistic_regression,0.75,89,114,F,M,38
gender,logistic_regression,0.75,89,114,M,F,40
gender,logistic_regression,0.75,89,114,M,M,31
gender,random_forest,0.75,89,114,F,F,36
gender,random_forest,0.75,89,114,F,M,35
gender,random_forest,0.75,89,114,M,F,33
gender,random_forest,0.75,89,114,M,M,38
gender,hist_gradient_boosting,0.75,89,114,F,F,34
gender,hist_gradient_boosting,0.75,89,114,F,M,37
gender,hist_gradient_boosting,0.75,89,114,M,F,27
gender,hist_gradient_boosting,0.75,89,114,M,M,44
gender,xgboost,0.75,89,114,F,F,37
gender,xgboost,0.75,89,114,F,M,34
gender,xgboost,0.75,89,114,M,F,29
gender,xgboost,0.75,89,114,M,M,42
gender,mlp,0.75,89,114,F,F,55
gender,mlp,0.75,89,114,F,M,16
gender,mlp,0.75,89,114,M,F,47
gender,mlp,0.75,89,114,M,M,24
gender,logistic_regression,1.0,13,152,F,F,36
gender,logistic_regression,1.0,13,152,F,M,35
gender,logistic_regression,1.0,13,152,M,F,42
gender,logistic_regression,1.0,13,152,M,M,29
gender,random_forest,1.0,13,152,F,F,27
gender,random_forest,1.0,13,152,F,M,44
gender,random_forest,1.0,13,152,M,F,33
gender,random_forest,1.0,13,152,M,M,38
gender,hist_gradient_boosting,1.0,13,152,F,F,37
gender,hist_gradient_boosting,1.0,13,152,F,M,34
gender,hist_gradient_boosting,1.0,13,152,M,F,26
gender,hist_gradient_boosting,1.0,13,152,M,M,45
gender,xgboost,1.0,13,152,F,F,42
gender,xgboost,1.0,13,152,F,M,29
gender,xgboost,1.0,13,152,M,F,33
gender,xgboost,1.0,13,152,M,M,38
gender,mlp,1.0,13,152,F,F,46
gender,mlp,1.0,13,152,F,M,25
gender,mlp,1.0,13,152,M,F,42
gender,mlp,1.0,13,152,M,M,29
gender,logistic_regression,1.0,21,152,F,F,36
gender,logistic_regression,1.0,21,152,F,M,35
gender,logistic_regression,1.0,21,152,M,F,42
gender,logistic_regression,1.0,21,152,M,M,29
gender,random_forest,1.0,21,152,F,F,37
gender,random_forest,1.0,21,152,F,M,34
gender,random_forest,1.0,21,152,M,F,38
gender,random_forest,1.0,21,152,M,M,33
gender,hist_gradient_boosting,1.0,21,152,F,F,36
gender,hist_gradient_boosting,1.0,21,152,F,M,35
gender,hist_gradient_boosting,1.0,21,152,M,F,40
gender,hist_gradient_boosting,1.0,21,152,M,M,31
gender,xgboost,1.0,21,152,F,F,35
gender,xgboost,1.0,21,152,F,M,36
gender,xgboost,1.0,21,152,M,F,30
gender,xgboost,1.0,21,152,M,M,41
gender,mlp,1.0,21,152,F,F,52
gender,mlp,1.0,21,152,F,M,19
gender,mlp,1.0,21,152,M,F,47
gender,mlp,1.0,21,152,M,M,24
gender,logistic_regression,1.0,34,152,F,F,36
gender,logistic_regression,1.0,34,152,F,M,35
gender,logistic_regression,1.0,34,152,M,F,42
gender,logistic_regression,1.0,34,152,M,M,29
gender,random_forest,1.0,34,152,F,F,34
gender,random_forest,1.0,34,152,F,M,37
gender,random_forest,1.0,34,152,M,F,31
gender,random_forest,1.0,34,152,M,M,40
gender,hist_gradient_boosting,1.0,34,152,F,F,44
gender,hist_gradient_boosting,1.0,34,152,F,M,27
gender,hist_gradient_boosting,1.0,34,152,M,F,44
gender,hist_gradient_boosting,1.0,34,152,M,M,27
gender,xgboost,1.0,34,152,F,F,37
gender,xgboost,1.0,34,152,F,M,34
gender,xgboost,1.0,34,152,M,F,27
gender,xgboost,1.0,34,152,M,M,44
gender,mlp,1.0,34,152,F,F,34
gender,mlp,1.0,34,152,F,M,37
gender,mlp,1.0,34,152,M,F,37
gender,mlp,1.0,34,152,M,M,34
gender,logistic_regression,1.0,55,152,F,F,36
gender,logistic_regression,1.0,55,152,F,M,35
gender,logistic_regression,1.0,55,152,M,F,42
gender,logistic_regression,1.0,55,152,M,M,29
gender,random_forest,1.0,55,152,F,F,36
gender,random_forest,1.0,55,152,F,M,35
gender,random_forest,1.0,55,152,M,F,29
gender,random_forest,1.0,55,152,M,M,42
gender,hist_gradient_boosting,1.0,55,152,F,F,45
gender,hist_gradient_boosting,1.0,55,152,F,M,26
gender,hist_gradient_boosting,1.0,55,152,M,F,36
gender,hist_gradient_boosting,1.0,55,152,M,M,35
gender,xgboost,1.0,55,152,F,F,34
gender,xgboost,1.0,55,152,F,M,37
gender,xgboost,1.0,55,152,M,F,33
gender,xgboost,1.0,55,152,M,M,38
gender,mlp,1.0,55,152,F,F,65
gender,mlp,1.0,55,152,F,M,6
gender,mlp,1.0,55,152,M,F,57
gender,mlp,1.0,55,152,M,M,14
gender,logistic_regression,1.0,89,152,F,F,36
gender,logistic_regression,1.0,89,152,F,M,35
gender,logistic_regression,1.0,89,152,M,F,42
gender,logistic_regression,1.0,89,152,M,M,29
gender,random_forest,1.0,89,152,F,F,35
gender,random_forest,1.0,89,152,F,M,36
gender,random_forest,1.0,89,152,M,F,32
gender,random_forest,1.0,89,152,M,M,39
gender,hist_gradient_boosting,1.0,89,152,F,F,42
gender,hist_gradient_boosting,1.0,89,152,F,M,29
