privacy_mode,epsilon,delta,sensitivity,dp_seed,task,classifier,train_fraction,metric,mean,std,n,baseline_mean,privacy_gain_vs_baseline,relative_attack_reduction,chance_level,attack_advantage_over_chance
dp,100.0,1e-05,1.0,2026,age,xgboost,0.25,f1_macro,0.25986228222007185,0.020344764309853696,5,0.5303671499292704,0.2705048677091985,0.5100332246167074,nan,nan
dp,100.0,1e-05,1.0,2026,age,xgboost,0.5,accuracy,0.4549295774647887,0.04739808076186998,5,0.7422535211267606,0.2873239436619719,0.3870967741935485,nan,nan
dp,100.0,1e-05,1.0,2026,age,xgboost,0.5,balanced_accuracy,0.2854741379310345,0.03152454835736924,5,0.5838054187192119,0.2983312807881774,0.5110114966775657,0.25,0.03547413793103449
dp,100.0,1e-05,1.0,2026,age,xgboost,0.5,f1_macro,0.25773813716900573,0.03184612140714713,5,0.6054538657609589,0.3477157285919532,0.5743059021597459,nan,nan
dp,100.0,1e-05,1.0,2026,age,xgboost,0.75,accuracy,0.4830985915492958,0.015428804436765246,5,0.7577464788732394,0.27464788732394363,0.36245353159851296,nan,nan
dp,100.0,1e-05,1.0,2026,age,xgboost,0.75,balanced_accuracy,0.3039224137931035,0.011491325791386573,5,0.6317857142857143,0.3278633004926108,0.5189469990838385,0.25,0.053922413793103474
dp,100.0,1e-05,1.0,2026,age,xgboost,0.75,f1_macro,0.2763136632470874,0.01647562400282431,5,0.6664906993874472,0.3901770361403598,0.5854200763776006,nan,nan
dp,100.0,1e-05,1.0,2026,age,xgboost,1.0,accuracy,0.4873239436619718,0.007714402218382641,5,0.7746478873239437,0.28732394366197195,0.370909090909091,nan,nan
dp,100.0,1e-05,1.0,2026,age,xgboost,1.0,balanced_accuracy,0.3040948275862069,0.004909966240105223,5,0.6649076354679803,0.3608128078817734,0.5426510219390448,0.25,0.05409482758620687
dp,100.0,1e-05,1.0,2026,age,xgboost,1.0,f1_macro,0.2718604432399684,0.003996837693450851,5,0.7050757725522768,0.43321532931230844,0.6144237912815084,nan,nan
dp,100.0,1e-05,1.0,2026,gender,hist_gradient_boosting,0.1,accuracy,0.5,0.0,5,0.5,0.0,0.0,nan,nan
dp,100.0,1e-05,1.0,2026,gender,hist_gradient_boosting,0.1,balanced_accuracy,0.5,0.0,5,0.5,0.0,0.0,0.5,0.0
dp,100.0,1e-05,1.0,2026,gender,hist_gradient_boosting,0.1,f1_macro,0.3333333333333333,0.0,5,0.3333333333333333,0.0,0.0,nan,nan
dp,100.0,1e-05,1.0,2026,gender,hist_gradient_boosting,0.25,accuracy,0.5,0.0,5,0.5,0.0,0.0,nan,nan
dp,100.0,1e-05,1.0,2026,gender,hist_gradient_boosting,0.25,balanced_accuracy,0.5,0.0,5,0.5,0.0,0.0,0.5,0.0
dp,100.0,1e-05,1.0,2026,gender,hist_gradient_boosting,0.25,f1_macro,0.3333333333333333,0.0,5,0.3333333333333333,0.0,0.0,nan,nan
dp,100.0,1e-05,1.0,2026,gender,hist_gradient_boosting,0.5,accuracy,0.504225352112676,0.04329697506743494,5,0.6647887323943662,0.16056338028169015,0.24152542372881358,nan,nan
dp,100.0,1e-05,1.0,2026,gender,hist_gradient_boosting,0.5,balanced_accuracy,0.504225352112676,0.04329697506743494,5,0.6647887323943662,0.16056338028169015,0.24152542372881358,0.5,0.004225352112676051
dp,100.0,1e-05,1.0,2026,gender,hist_gradient_boosting,0.5,f1_macro,0.4991034818476999,0.04305625812253314,5,0.6633138380953567,0.16421035624765679,0.24756057663318373,nan,nan
dp,100.0,1e-05,1.0,2026,gender,hist_gradient_boosting,0.75,accuracy,0.5154929577464789,0.05554012437501508,5,0.7450704225352113,0.22957746478873242,0.3081285444234405,nan,nan
dp,100.0,1e-05,1.0,2026,gender,hist_gradient_boosting,0.75,balanced_accuracy,0.5154929577464789,0.05554012437501512,5,0.7450704225352113,0.22957746478873242,0.3081285444234405,0.5,0.015492957746478853
dp,100.0,1e-05,1.0,2026,gender,hist_gradient_boosting,0.75,f1_macro,0.5136751096134332,0.05697177084546335,5,0.7444563167784716,0.23078120716503836,0.30999966279245383,nan,nan
dp,100.0,1e-05,1.0,2026,gender,hist_gradient_boosting,1.0,accuracy,0.5197183098591549,0.043809383140833213,5,0.7690140845070422,0.24929577464788732,0.3241758241758242,nan,nan
dp,100.0,1e-05,1.0,2026,gender,hist_gradient_boosting,1.0,balanced_accuracy,0.5197183098591549,0.043809383140833213,5,0.7690140845070422,0.24929577464788732,0.3241758241758242,0.5,0.019718309859154903
dp,100.0,1e-05,1.0,2026,gender,hist_gradient_boosting,1.0,f1_macro,0.5190993664168497,0.04405349069022106,5,0.7685450975807722,0.24944573116392244,0.3245687623915997,nan,nan
dp,100.0,1e-05,1.0,2026,gender,logistic_regression,0.1,accuracy,0.5366197183098592,0.028778615129158535,5,0.652112676056338,0.11549295774647883,0.17710583153347725,nan,nan
dp,100.0,1e-05,1.0,2026,gender,logistic_regression,0.1,balanced_accuracy,0.5366197183098592,0.028778615129158535,5,0.652112676056338,0.11549295774647883,0.17710583153347725,0.5,0.03661971830985922
dp,100.0,1e-05,1.0,2026,gender,logistic_regression,0.1,f1_macro,0.5335097704744538,0.028281027784208376,5,0.6514272741589638,0.11791750368451004,0.18101407227191926,nan,nan
dp,100.0,1e-05,1.0,2026,gender,logistic_regression,0.25,accuracy,0.5183098591549297,0.03172924035512342,5,0.7436619718309859,0.22535211267605626,0.3030303030303029,nan,nan
dp,100.0,1e-05,1.0,2026,gender,logistic_regression,0.25,balanced_accuracy,0.5183098591549296,0.03172924035512337,5,0.7436619718309859,0.22535211267605637,0.3030303030303031,0.5,0.018309859154929553
dp,100.0,1e-05,1.0,2026,gender,logistic_regression,0.25,f1_macro,0.5174496902791725,0.032644576749023886,5,0.7430680859823008,0.22561839570312825,0.3036308515455504,nan,nan
dp,100.0,1e-05,1.0,2026,gender,logistic_regression,0.5,accuracy,0.5464788732394366,0.02616081073381227,5,0.7830985915492958,0.23661971830985928,0.3021582733812951,nan,nan
dp,100.0,1e-05,1.0,2026,gender,logistic_regression,0.5,balanced_accuracy,0.5464788732394366,0.026160810733812278,5,0.7830985915492958,0.23661971830985928,0.3021582733812951,0.5,0.04647887323943656
dp,100.0,1e-05,1.0,2026,gender,logistic_regression,0.5,f1_macro,0.5451333800497806,0.025673071187018257,5,0.782652177012108,0.23751879696232736,0.3034793793956991,nan,nan
dp,100.0,1e-05,1.0,2026,gender,logistic_regression,0.75,accuracy,0.5535211267605634,0.039398875297744676,5,0.8366197183098592,0.28309859154929573,0.33838383838383834,nan,nan
dp,100.0,1e-05,1.0,2026,gender,logistic_regression,0.75,balanced_accuracy,0.5535211267605632,0.03939887529774467,5,0.8366197183098592,0.28309859154929595,0.3383838383838386,0.5,0.0535211267605632
dp,100.0,1e-05,1.0,2026,gender,logistic_regression,0.75,f1_macro,0.5528050473613254,0.03884372431282185,5,0.8364291493378413,0.2836241019765159,0.3390892129967574,nan,nan
dp,100.0,1e-05,1.0,2026,gender,logistic_regression,1.0,accuracy,0.5492957746478874,0.0,5,0.852112676056338,0.30281690140845063,0.3553719008264462,nan,nan
dp,100.0,1e-05,1.0,2026,gender,logistic_regression,1.0,balanced_accuracy,0.5492957746478874,0.0,5,0.852112676056338,0.30281690140845063,0.3553719008264462,0.5,0.04929577464788737
dp,100.0,1e-05,1.0,2026,gender,logistic_regression,1.0,f1_macro,0.5492957746478874,0.0,5,0.8521053414670436,0.3028095668191563,0.35536635212005396,nan,nan
dp,100.0,1e-05,1.0,2026,gender,mlp,0.1,accuracy,0.5253521126760564,0.03250135425130797,5,0.5394366197183098,0.014084507042253391,0.026109660574412295,nan,nan
dp,100.0,1e-05,1.0,2026,gender,mlp,0.1,balanced_accuracy,0.5253521126760564,0.03250135425130797,5,0.5394366197183098,0.014084507042253391,0.026109660574412295,0.5,0.025352112676056415
dp,100.0,1e-05,1.0,2026,gender,mlp,0.1,f1_macro,0.4676350994662502,0.057806128843249385,5,0.5047258773502968,0.03709077788404663,0.07348697490757815,nan,nan
dp,100.0,1e-05,1.0,2026,gender,mlp,0.25,accuracy,0.5154929577464789,0.050635712710556495,5,0.6309859154929578,0.11549295774647894,0.18303571428571438,nan,nan
dp,100.0,1e-05,1.0,2026,gender,mlp,0.25,balanced_accuracy,0.5154929577464789,0.05063571271055648,5,0.6309859154929578,0.11549295774647894,0.18303571428571438,0.5,0.015492957746478853
dp,100.0,1e-05,1.0,2026,gender,mlp,0.25,f1_macro,0.480985554738092,0.058310993749876264,5,0.618024855875843,0.13703930113775098,0.22173752371746233,nan,nan
dp,100.0,1e-05,1.0,2026,gender,mlp,0.5,accuracy,0.5352112676056338,0.04536654481241241,5,0.7492957746478874,0.21408450704225368,0.28571428571428586,nan,nan
dp,100.0,1e-05,1.0,2026,gender,mlp,0.5,balanced_accuracy,0.5352112676056338,0.04536654481241241,5,0.7492957746478874,0.21408450704225368,0.28571428571428586,0.5,0.035211267605633756
dp,100.0,1e-05,1.0,2026,gender,mlp,0.5,f1_macro,0.5070734231197536,0.06908341813934106,5,0.7471819135775497,0.24010849045779614,0.32135211799780183,nan,nan
dp,100.0,1e-05,1.0,2026,gender,mlp,0.75,accuracy,0.5450704225352112,0.06070242799861957,5,0.776056338028169,0.23098591549295777,0.2976406533575318,nan,nan
dp,100.0,1e-05,1.0,2026,gender,mlp,0.75,balanced_accuracy,0.5450704225352112,0.06070242799861957,5,0.776056338028169,0.23098591549295777,0.2976406533575318,0.5,0.04507042253521121
dp,100.0,1e-05,1.0,2026,gender,mlp,0.75,f1_macro,0.5248529084786212,0.07641446946025814,5,0.7753855423457606,0.2505326338671394,0.3231071772491493,nan,nan
dp,100.0,1e-05,1.0,2026,gender,mlp,1.0,accuracy,0.5577464788732394,0.04760688389057909,5,0.8380281690140844,0.28028169014084503,0.334453781512605,nan,nan
dp,100.0,1e-05,1.0,2026,gender,mlp,1.0,balanced_accuracy,0.5577464788732394,0.0476068838905791,5,0.8380281690140844,0.28028169014084503,0.334453781512605,0.5,0.05774647887323936
dp,100.0,1e-05,1.0,2026,gender,mlp,1.0,f1_macro,0.5372045637904226,0.06290971952308844,5,0.8371996629242509,0.29999509913382827,0.3583316052540881,nan,nan
dp,100.0,1e-05,1.0,2026,gender,random_forest,0.1,accuracy,0.5098591549295775,0.03844322271536952,5,0.6492957746478873,0.1394366197183099,0.21475054229934928,nan,nan
dp,100.0,1e-05,1.0,2026,gender,random_forest,0.1,balanced_accuracy,0.5098591549295775,0.03844322271536952,5,0.6492957746478873,0.1394366197183099,0.21475054229934928,0.5,0.009859154929577452
dp,100.0,1e-05,1.0,2026,gender,random_forest,0.1,f1_macro,0.5088433705650418,0.03761192164084174,5,0.6478133328894363,0.1389699623243945,0.21452161489876717,nan,nan
dp,100.0,1e-05,1.0,2026,gender,random_forest,0.25,accuracy,0.5394366197183098,0.028431872166459662,5,0.7380281690140846,0.19859154929577483,0.26908396946564905,nan,nan
dp,100.0,1e-05,1.0,2026,gender,random_forest,0.25,balanced_accuracy,0.5394366197183098,0.028431872166459652,5,0.7380281690140844,0.1985915492957746,0.26908396946564883,0.5,0.03943661971830981
dp,100.0,1e-05,1.0,2026,gender,random_forest,0.25,f1_macro,0.5370709255241097,0.027754314361798493,5,0.7371165322106112,0.2000456066865015,0.27138939088310104,nan,nan
dp,100.0,1e-05,1.0,2026,gender,random_forest,0.5,accuracy,0.5492957746478874,0.030289877700854326,5,0.7859154929577465,0.23661971830985917,0.3010752688172043,nan,nan
dp,100.0,1e-05,1.0,2026,gender,random_forest,0.5,balanced_accuracy,0.5492957746478874,0.030289877700854312,5,0.7859154929577465,0.23661971830985917,0.3010752688172043,0.5,0.04929577464788737
dp,100.0,1e-05,1.0,2026,gender,random_forest,0.5,f1_macro,0.5481246091474699,0.030916038717196403,5,0.7843484339153923,0.23622382476792247,0.3011720487395069,nan,nan
dp,100.0,1e-05,1.0,2026,gender,random_forest,0.75,accuracy,0.5338028169014084,0.032040318777682625,5,0.843661971830986,0.3098591549295776,0.36727879799666124,nan,nan
dp,100.0,1e-05,1.0,2026,gender,random_forest,0.75,balanced_accuracy,0.5338028169014084,0.032040318777682625,5,0.843661971830986,0.3098591549295776,0.36727879799666124,0.5,0.033802816901408406
dp,100.0,1e-05,1.0,2026,gender,random_forest,0.75,f1_macro,0.5322183677855894,0.031277418157911845,5,0.8435243743136651,0.3113060065280757,0.36905395505775435,nan,nan
dp,100.0,1e-05,1.0,2026,gender,random_forest,1.0,accuracy,0.5450704225352112,0.024190935263827727,5,0.8830985915492958,0.3380281690140846,0.382775119617225,nan,nan
